=== sample 1 14:49:53 ===
index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
0, NVIDIA RTX PRO 4500 Blackwell Server Edition, 1 MiB, 32623 MiB, 0 %
1, NVIDIA RTX PRO 4500 Blackwell Server Edition, 1 MiB, 32623 MiB, 0 %
2, NVIDIA RTX PRO 4500 Blackwell Server Edition, 0 MiB, 32623 MiB, 0 %
3, NVIDIA RTX PRO 4500 Blackwell Server Edition, 0 MiB, 32623 MiB, 0 %
4, NVIDIA RTX PRO 4500 Blackwell Server Edition, 0 MiB, 32623 MiB, 0 %
5, NVIDIA RTX PRO 4500 Blackwell Server Edition, 0 MiB, 32623 MiB, 0 %
6, NVIDIA RTX PRO 4500 Blackwell Server Edition, 0 MiB, 32623 MiB, 0 %
7, NVIDIA RTX PRO 4500 Blackwell Server Edition, 0 MiB, 32623 MiB, 0 %
=== sample 2 14:49:55 ===
index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
0, NVIDIA RTX PRO 4500 Blackwell Server Edition, 267 MiB, 32623 MiB, 0 %
1, NVIDIA RTX PRO 4500 Blackwell Server Edition, 267 MiB, 32623 MiB, 0 %
2, NVIDIA RTX PRO 4500 Blackwell Server Edition, 267 MiB, 32623 MiB, 1 %
3, NVIDIA RTX PRO 4500 Blackwell Server Edition, 18 MiB, 32623 MiB, 0 %
4, NVIDIA RTX PRO 4500 Blackwell Server Edition, 3 MiB, 32623 MiB, 0 %
5, NVIDIA RTX PRO 4500 Blackwell Server Edition, 3 MiB, 32623 MiB, 0 %
6, NVIDIA RTX PRO 4500 Blackwell Server Edition, 3 MiB, 32623 MiB, 0 %
7, NVIDIA RTX PRO 4500 Blackwell Server Edition, 3 MiB, 32623 MiB, 0 %
=== sample 3 14:49:58 ===
index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
0, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2509 MiB, 32623 MiB, 0 %
1, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2603 MiB, 32623 MiB, 0 %
2, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2185 MiB, 32623 MiB, 0 %
3, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2497 MiB, 32623 MiB, 0 %
4, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2665 MiB, 32623 MiB, 0 %
5, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2317 MiB, 32623 MiB, 0 %
6, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2559 MiB, 32623 MiB, 0 %
7, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2819 MiB, 32623 MiB, 0 %
=== sample 4 14:50:00 ===
index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
0, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2593 MiB, 32623 MiB, 10 %
1, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2687 MiB, 32623 MiB, 14 %
2, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2269 MiB, 32623 MiB, 9 %
3, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2581 MiB, 32623 MiB, 10 %
4, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2749 MiB, 32623 MiB, 12 %
5, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2401 MiB, 32623 MiB, 11 %
6, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2643 MiB, 32623 MiB, 11 %
7, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2969 MiB, 32623 MiB, 11 %
=== sample 5 14:50:02 ===
index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
0, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2593 MiB, 32623 MiB, 14 %
1, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2687 MiB, 32623 MiB, 11 %
2, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2269 MiB, 32623 MiB, 12 %
3, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2581 MiB, 32623 MiB, 14 %
4, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2749 MiB, 32623 MiB, 15 %
5, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2401 MiB, 32623 MiB, 11 %
6, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2643 MiB, 32623 MiB, 14 %
7, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2969 MiB, 32623 MiB, 11 %
=== sample 6 14:50:04 ===
index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
0, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2593 MiB, 32623 MiB, 10 %
1, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2687 MiB, 32623 MiB, 14 %
2, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2269 MiB, 32623 MiB, 9 %
3, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2581 MiB, 32623 MiB, 12 %
4, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2749 MiB, 32623 MiB, 11 %
5, NVIDIA RTX PRO 4500 Blackwell Server Edition, 2401 MiB, 32623 MiB, 13 %
